name ml_label sml pa_h
aegis_10002 4 0 -37.7631
aegis_10004 1 0 8.4334
aegis_10010 1 0 -12.6471
aegis_10013 2 0 -0.2557
aegis_10018 2 0 21.6769
aegis_1002 1 0 -51.4449
aegis_10024 4 0 -61.2988
aegis_1003 4 1 87.9911
aegis_10033 2 0 39.0313
aegis_10034 2 1 -50.4067
aegis_10042 4 0 45.1815
aegis_10044 1 1 56.3836
aegis_10045 4 1 -32.2667
aegis_10050 2 0 8.0446
aegis_1006 -1 0 15.1678
aegis_10062 1 0 -23.1582
aegis_10065 3 0 -28.3934
aegis_10066 1 1 -81.9881
aegis_1007 3 1 -5.1691
aegis_10071 1 1 13.6002
aegis_10076 1 1 -34.4176
aegis_10078 3 1 -78.069
aegis_10091 4 0 -62.4031
aegis_10092 1 0 1.0806
aegis_10093 3 1 4.1976
aegis_10095 1 1 -14.9195
aegis_10099 3 0 -18.18
aegis_10124 1 1 -65.9329
aegis_10126 3 1 -28.233
aegis_10131 4 1 84.2611
aegis_10132 3 0 62.7599
aegis_10134 1 1 47.6236
aegis_10135 1 0 -52.9838
aegis_10141 2 1 -82.2258
aegis_10151 4 1 72.2466
aegis_10154 3 1 -45.4785
aegis_1016 -1 0 -2.5097
aegis_10164 3 0 43.0086
aegis_10168 2 0 37.7119
aegis_10171 1 1 86.5346
aegis_10176 2 1 -58.3454
aegis_10181 1 0 18.9102
aegis_10183 2 1 25.3023
aegis_10187 -1 0 31.8472
aegis_10196 3 0 86.3678
aegis_10200 2 0 -45.735
aegis_10209 1 1 -44.8797
aegis_10211 1 1 -82.7965
aegis_10216 4 0 -70.592
aegis_10219 1 0 -50.9822
aegis_10221 3 1 52.5635
aegis_10223 1 1 62.0746
aegis_10226 3 0 80.1503
aegis_10227 4 0 -21.4371
aegis_10238 4 1 -56.6455
aegis_1024 4 0 -15.1057
aegis_10241 4 0 -49.2479
aegis_10245 1 0 -71.4338
aegis_10248 2 1 -84.2012
aegis_1025 1 0 -53.6975
aegis_10250 4 0 86.9088
aegis_10254 1 1 -13.4209
aegis_10259 3 1 -14.7001
aegis_10265 3 0 73.9726
aegis_10267 1 0 48.7495
aegis_10274 1 1 65.421
aegis_10277 2 0 11.2843
aegis_10283 2 0 15.6907
aegis_10288 1 1 81.2474
aegis_10290 4 0 -30.8898
aegis_10292 2 0 9.3805
aegis_10298 2 1 -18.5416
aegis_103 1 0 70.41
aegis_10300 1 1 -59.9388
aegis_10305 1 0 40.0449
aegis_10309 1 0 42.4298
aegis_10310 4 0 36.1769
aegis_10314 2 1 39.3317
aegis_10315 1 1 2.4726
aegis_10318 1 0 -84.7663
aegis_10323 3 0 -25.2367
aegis_1033 1 1 -18.8482
aegis_10333 4 0 -4.6874
aegis_1034 3 1 49.1754
aegis_10340 4 0 52.1199
aegis_10349 1 1 62.6567
aegis_1035 1 1 15.1746
aegis_10351 2 1 -52.2765
aegis_10354 4 0 -56.1515
aegis_10365 2 0 -42.7463
aegis_10375 2 0 -45.1036
aegis_10376 4 0 -73.8755
aegis_10382 1 1 -14.7712
aegis_10386 3 0 54.7853
aegis_10389 2 1 49.6676
aegis_10391 1 0 9.6824
aegis_10392 1 0 8.3151
aegis_10393 2 1 -31.9909
aegis_10394 3 1 34.1586
aegis_10397 4 0 67.3602
aegis_10401 3 1 -42.0125
aegis_10402 1 0 20.1986
aegis_10403 1 0 70.5865
aegis_10415 4 0 -33.789
aegis_10421 1 1 18.6584
aegis_10428 4 0 -12.6114
aegis_10429 0 0 37.121
aegis_1043 3 1 -19.5348
aegis_10430 2 1 -42.2747
aegis_10442 2 1 48.5418
aegis_10445 2 1 77.4606
aegis_10449 1 0 82.1586
aegis_10463 0 0 -81.6632
aegis_10466 3 1 46.9777
aegis_10468 2 0 33.459
aegis_10471 3 0 63.5648
aegis_10478 1 1 47.4468
aegis_10479 2 1 39.9649
aegis_10483 4 1 -50.0404
aegis_10484 2 0 67.2221
aegis_10489 1 1 16.169
aegis_10490 3 0 -55.4867
aegis_10494 4 0 34.988
aegis_10495 1 1 -38.5526
aegis_10498 2 0 14.6007
aegis_10499 1 1 -69.1629
aegis_10502 3 1 77.463
aegis_10504 3 1 38.3133
aegis_10509 1 1 86.976
aegis_10510 3 1 -61.8521
aegis_10511 1 1 -23.0705
aegis_10520 1 0 27.5435
aegis_1053 3 0 69.8555
aegis_10537 1 1 50.8006
aegis_1054 3 1 -75.128
aegis_10541 1 1 32.3087
aegis_10544 3 1 47.531
aegis_10548 3 0 16.1827
aegis_10549 2 0 -20.2945
aegis_10554 1 0 -1.5429
aegis_10557 1 0 -42.6345
aegis_10561 2 1 57.1866
aegis_10563 4 1 -53.384
aegis_10567 4 0 39.9705
aegis_10570 4 0 34.5891
aegis_10572 2 1 28.2018
aegis_10573 1 0 -63.8093
